CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Flag,Latest Date?
Faeroe Islands,FRO,,,NAT_TOTAL,20210105,0,,2,0,2,0,2,1,0,,0,,0,,2,1,1,2,0,0,2,1,3,2,0,0,0,,0,,,626,0,36.11,36.11,38.1,38.1,45,45,40.38,40.38,75,75,FALSE,20210105
Gabon,GAB,,,NAT_TOTAL,20210104,0,,2,1,2,1,3,1,2,1,1,1,2,1,3,2,0,2,0,0,2,1,3,2,0,0,3,1,0,,,9605,66,72.22,72.22,78.57,78.57,73.33,73.33,71.15,71.15,87.5,87.5,FALSE,20210104
United Kingdom,GBR,,,NAT_TOTAL,20210108,2,1,3,0,2,1,4,1,1,1,2,0,2,0,2,2,1,2,0,0,2,1,2,1,0,0,2,1,3,1,,,,75,75,76.19,76.19,73.44,73.44,69.36,69.36,100,100,FALSE,20210108
Georgia,GEO,,,NAT_TOTAL,20210103,3,0,2,1,2,1,4,1,2,0,3,0,2,0,3,1,0,1,0,0,2,1,2,2,0,0,3,1,0,,,229169,2603,84.26,84.26,80.95,80.95,71.67,71.67,76.92,76.92,37.5,37.5,FALSE,20210103
Ghana,GHA,,,NAT_TOTAL,20210104,2,1,1,1,1,1,3,1,0,,0,,0,,1,0,,0,0,0,2,1,3,2,0,0,4,1,0,,,55168,335,38.89,38.89,47.14,47.14,43.33,43.33,50,50,0,0,FALSE,20210104
Guinea,GIN,,,NAT_TOTAL,20210104,1,1,1,1,1,1,0,,0,,2,0,2,0,1,0,,0,0,0,2,1,2,2,0,0,3,1,2,1,,13799,81,40.74,40.74,51.19,51.19,43.22,43.22,49.87,49.87,0,0,FALSE,20210104
Gambia,GMB,,,NAT_TOTAL,20210104,1,1,0,,2,1,4,1,1,1,0,,0,,1,0,,0,0,0,2,1,2,2,0,0,3,1,0,,,3800,124,45.37,45.37,48.81,48.81,43.33,43.33,50,50,0,0,FALSE,20210104
Greece,GRC,,,NAT_TOTAL,20210103,3,1,2,1,2,1,4,1,1,1,2,1,2,1,3,2,0,2,0,0,2,1,2,2,0,0,4,1,2,1,,140099,4957,84.26,84.26,88.1,88.1,82.67,82.67,81.92,81.92,87.5,87.5,FALSE,20210103
Greenland,GRL,,,NAT_TOTAL,20210104,1,1,,,1,1,2,1,0,,0,,0,,4,0,,0,0,0,2,1,2,2,0,0,2,1,0,,,27,0,37.04,37.04,45.24,45.24,36.67,36.67,42.31,42.31,0,0,FALSE,20210104
Guatemala,GTM,,,NAT_TOTAL,20210103,3,1,1,1,1,1,4,0,1,1,0,,0,,2,1,0,2,0,0,2,1,2,1,0,0,3,1,0,,,138475,4833,52.31,52.31,63.81,63.81,52.5,52.5,50.96,50.96,62.5,62.5,FALSE,20210103
